text,count,relevance
pizza place,1,0.949545
San Francisco,1,0.914325
kind of a pizza place,1,0.818065
Congratulations,1,0.649929
Pizza,5,0.586866
Riley,1,0.573141
San Francisco thing,1,0.571814
kind of pizza,1,0.552439
broccoli,1,0.540289
lunch,1,0.527915
street,1,0.527915
heck,1,0.527915
Hawaiians,1,0.527915
